Perioden;Benzine;Diesel;Lpg
2007 zaterdag 24 februari;1,35;0,998;0,501
2007 zondag 25 februari;1,351;0,998;0,507
2007 maandag 26 februari;1,35;0,998;0,501
2007 dinsdag 27 februari;1,357;1,002;0,504
2007 woensdag 28 februari;1,362;1,003;0,505
2007 donderdag 1 maart;1,365;1,003;0,503
2007 vrijdag 2 maart;1,375;1,006;0,502
2007 zaterdag 3 maart;1,384;1,009;0,502
2007 zondag 4 maart;1,384;1,009;0,503
2007 maandag 5 maart;1,383;1,009;0,504
2007 dinsdag 6 maart;1,383;1,01;0,505
2007 woensdag 7 maart;1,382;1,01;0,509
2007 donderdag 8 maart;1,381;1,01;0,504
2007 vrijdag 9 maart;1,382;1,01;0,505
2007 zaterdag 10 maart;1,386;1,01;0,506
2007 zondag 11 maart;1,386;1,008;0,501
2007 maandag 12 maart;1,386;1,01;0,506
2007 dinsdag 13 maart;1,384;1,007;0,504
2007 woensdag 14 maart;1,384;1,005;0,51
2007 donderdag 15 maart;1,383;1,003;0,511
2007 vrijdag 16 maart;1,379;1,003;0,513
2007 zaterdag 17 maart;1,369;1;0,514
2007 zondag 18 maart;1,367;1;0,509
2007 maandag 19 maart;1,366;1;0,512
2007 dinsdag 20 maart;1,365;0,997;0,515
2007 woensdag 21 maart;1,362;0,995;0,509
2007 donderdag 22 maart;1,361;0,995;0,514
2007 vrijdag 23 maart;1,362;0,995;0,512
2007 zaterdag 24 maart;1,367;0,998;0,507
2007 zondag 25 maart;1,367;0,999;0,512
2007 maandag 26 maart;1,366;0,999;0,511
2007 dinsdag 27 maart;1,381;1,006;0,512
2007 woensdag 28 maart;1,39;1,008;0,504
2007 donderdag 29 maart;1,402;1,018;0,506
2007 vrijdag 30 maart;1,402;1,026;0,504
2007 zaterdag 31 maart;1,416;1,038;0,504
2007 zondag 1 april;1,414;1,036;0,504
2007 maandag 2 april;1,416;1,039;0,505
2007 dinsdag 3 april;1,416;1,038;0,507
2007 woensdag 4 april;1,412;1,035;0,514
2007 donderdag 5 april;1,41;1,034;0,513
2007 vrijdag 6 april;1,417;1,035;0,512
2007 zaterdag 7 april;1,42;1,035;0,514
2007 zondag 8 april;1,418;1,033;0,514
2007 maandag 9 april;1,418;1,034;0,514
2007 dinsdag 10 april;1,419;1,036;0,513
2007 woensdag 11 april;1,416;1,029;0,515
2007 donderdag 12 april;1,416;1,028;0,517
2007 vrijdag 13 april;1,42;1,033;0,518
2007 zaterdag 14 april;1,428;1,037;0,519
2007 zondag 15 april;1,427;1,037;0,517
2007 maandag 16 april;1,427;1,038;0,519
2007 dinsdag 17 april;1,428;1,038;0,518
2007 woensdag 18 april;1,428;1,037;0,515
2007 donderdag 19 april;1,418;1,024;0,515
2007 vrijdag 20 april;1,416;1,022;0,516
2007 zaterdag 21 april;1,426;1,019;0,516
2007 zondag 22 april;1,425;1,019;0,515
2007 maandag 23 april;1,425;1,019;0,516
2007 dinsdag 24 april;1,435;1,022;0,513
2007 woensdag 25 april;1,451;1,027;0,512
2007 donderdag 26 april;1,45;1,027;0,514
2007 vrijdag 27 april;1,45;1,027;0,511
2007 zaterdag 28 april;1,45;1,027;0,512
2007 zondag 29 april;1,449;1,027;0,513
2007 maandag 30 april;1,45;1,026;0,516
2007 dinsdag 1 mei;1,452;1,028;0,515
2007 woensdag 2 mei;1,462;1,028;0,511
2007 donderdag 3 mei;1,467;1,028;0,509
2007 vrijdag 4 mei;1,468;1,028;0,511
2007 zaterdag 5 mei;1,463;1,027;0,509
2007 zondag 6 mei;1,462;1,027;0,514
2007 maandag 7 mei;1,462;1,028;0,508
2007 dinsdag 8 mei;1,46;1,027;0,51
2007 woensdag 9 mei;1,453;1,023;0,506
2007 donderdag 10 mei;1,449;1,021;0,504
2007 vrijdag 11 mei;1,45;1,021;0,506
2007 zaterdag 12 mei;1,464;1,027;0,501
2007 zondag 13 mei;1,464;1,028;0,498
2007 maandag 14 mei;1,465;1,029;0,503
2007 dinsdag 15 mei;1,468;1,029;0,503
2007 woensdag 16 mei;1,467;1,029;0,508
2007 donderdag 17 mei;1,466;1,029;0,508
2007 vrijdag 18 mei;1,466;1,028;0,507
2007 zaterdag 19 mei;1,474;1,031;0,506
2007 zondag 20 mei;1,474;1,031;0,51
2007 maandag 21 mei;1,475;1,031;0,51
2007 dinsdag 22 mei;1,482;1,037;0,509
2007 woensdag 23 mei;1,483;1,039;0,52
2007 donderdag 24 mei;1,476;1,039;0,523
2007 vrijdag 25 mei;1,47;1,043;0,52
2007 zaterdag 26 mei;1,472;1,046;0,521
2007 zondag 27 mei;1,471;1,046;0,52
2007 maandag 28 mei;1,471;1,047;0,522
2007 dinsdag 29 mei;1,472;1,047;0,523
2007 woensdag 30 mei;1,471;1,043;0,529
2007 donderdag 31 mei;1,463;1,037;0,536
2007 vrijdag 1 juni;1,458;1,035;0,537
2007 zaterdag 2 juni;1,455;1,035;0,534
2007 zondag 3 juni;1,455;1,036;0,532
2007 maandag 4 juni;1,456;1,037;0,539
2007 dinsdag 5 juni;1,454;1,042;0,536
2007 woensdag 6 juni;1,452;1,045;0,533
2007 donderdag 7 juni;1,453;1,046;0,536
2007 vrijdag 8 juni;1,451;1,048;0,531
2007 zaterdag 9 juni;1,452;1,052;0,53
2007 zondag 10 juni;1,451;1,052;0,535
2007 maandag 11 juni;1,451;1,053;0,532
2007 dinsdag 12 juni;1,448;1,052;0,534
2007 woensdag 13 juni;1,446;1,05;0,524
2007 donderdag 14 juni;1,445;1,05;0,525
2007 vrijdag 15 juni;1,448;1,055;0,524
2007 zaterdag 16 juni;1,455;1,059;0,521
2007 zondag 17 juni;1,455;1,059;0,521
2007 maandag 18 juni;1,457;1,06;0,526
2007 dinsdag 19 juni;1,46;1,061;0,522
2007 woensdag 20 juni;1,461;1,061;0,521
2007 donderdag 21 juni;1,46;1,061;0,523
2007 vrijdag 22 juni;1,46;1,064;0,522
2007 zaterdag 23 juni;1,46;1,065;0,522
2007 zondag 24 juni;1,461;1,066;0,524
2007 maandag 25 juni;1,461;1,066;0,523
2007 dinsdag 26 juni;1,46;1,061;0,521
2007 woensdag 27 juni;1,459;1,06;0,523
2007 donderdag 28 juni;1,454;1,059;0,521
2007 vrijdag 29 juni;1,45;1,056;0,522
2007 zaterdag 30 juni;1,45;1,057;0,522
2007 zondag 1 juli;1,451;1,057;0,526
2007 maandag 2 juli;1,451;1,058;0,523
2007 dinsdag 3 juli;1,453;1,058;0,522
2007 woensdag 4 juli;1,453;1,06;0,52
2007 donderdag 5 juli;1,453;1,059;0,52
2007 vrijdag 6 juli;1,452;1,059;0,518
2007 zaterdag 7 juli;1,458;1,061;0,518
2007 zondag 8 juli;1,459;1,061;0,517
2007 maandag 9 juli;1,459;1,062;0,519
2007 dinsdag 10 juli;1,462;1,063;0,516
2007 woensdag 11 juli;1,467;1,066;0,52
